company,title,domain,city,stipend,duration
Google India,Visual Designer Intern,UI/UX Design,Bangalore,20000,3 Months
Microsoft,Strategy Intern,Business Analytics,Lucknow,10000,6 Months
Amazon,Web3 Developer Intern,Blockchain,Gurgaon,8000,1 Month
Flipkart,BI Analyst Intern,Data Science,Gurgaon,25000,3 Months
Infosys,Natural Language Processing Intern,Natural Language Processing,Nagpur,30000,3 Months
TCS,Game Developer Intern,Game Development,Gurgaon,25000,3 Months
Wipro,Robotics Intern,Robotics,Indore,40000,3 Months
Zoho,Computer Vision Intern,Computer Vision,Bhubaneswar,35000,12 Months
Razorpay,Business Analyst Intern,Product Management,Vijayawada,80000,12 Months
Swiggy,UI/UX Designer Intern,UI/UX Design,Coimbatore,5000,6 Months
